图片名称,颜色1,颜色2,颜色3,颜色4
Sing！Shine！Smile！ ／ 未来の音が聴こえる【第12話盤】,#33346D,#1B3B64,#564A62,#1D2C71
Sparkly Spot,#C68DBA,#EE575E,#DD9886,#F9ECDF
Stardust,#B32E4B,#F29200,#732417,#622417
Story of Hope,#17205B,#1B77A0,#7E121F,#1C091C
"Stranger Things： Soundtrack from the Netflix Series, Season 4",#430603,#40130D,#1D4F70,#173D54
Sweet Ices Cream,#DF467F,#FFFFE7,#FDFAC7,#FCF7EA
Symbol IV ： Earth,#70AA4E,#71B927,#517F33,#6BA732
Synchrogazer,#E2E9F9,#F8FDFF,#F0F4F7,#DEEDFA
THE MUSEUM,#C0DDE3,#6A849B,#D4D7D7,#F0F0F0
TOP -Japanese ver.-,#17264E,#3F4D71,#23345F,#121F49
TV Animation BLEACH Original Soundtrack 1,#F57D3C,#F6D4B9,#FBEDE9,#FAF7F5
TVアニメ 世界一初恋・世界一初恋2 オリジナルサウンドトラック,#8DC852,#E1F0D1,#FBFCF7,#F8F9F1
TVアニメ「うちのメイドがウザすぎる！」エンディングテーマ「ときめき☆くらいまっくす」 歌：鴨居つばめ（CV：沼倉愛美）＆高梨ミーシャ（CV：白石晴香）,#FFFB4A,#F6AD3A,#FF9F28,#FFF441
TVアニメ「オーバーロードⅡ」エンディングテーマ「HYDRA」【通常盤】 歌：MYTH ＆ ROID,#D0E3F1,#C0D2E8,#DEE8F1,#CCD8E4
TVアニメ「オーバーロード」オープニングテーマ「Clattanoia（クラタノイア）」 歌：OxT（オクト）（オーイシマサヨシ × Tom-H@ck）,#070607,#076079,#127964,#241638
TVアニメ「ハイスクールD×D NEW 月光校庭のエクスカリバー」OPテーマ -「Sympathy」,#FBEBDB,#AF433B,#B1885C,#FBE4D2
TVアニメ「冴えない彼女の育てかた♭」ギャルゲーカバーソング&ミニサウンドトラック Vol.3,#F1EFF4,#FDD6C7,#F1B4BB,#AD9DC1
TVアニメ『ウマ娘 プリティーダービー』ANIMATION DERBY Season 2 vol.2「木漏れ日のエール」,#5DA015,#CFE636,#73BE30,#EBECDA
TVアニメ『ラブライブ！』オリジナルサウンドトラック「Notes of School idol days」,#F3DCCE,#44B6AC,#8FD3DE,#6E8FC5
Take It Over,#22346A,#2C62D1,#463B5D,#453E5F
Taylor Swift Karaoke： 1989 (Deluxe Edition),#D4A07E,#7A6F79,#C4B29C,#DBDCD3
"Thank you, FRIENDS!!",#4F89C9,#C3DDEE,#F8F8F8,#EDFFFF
The 1st Album XOXO (KISS&HUG),#FEFEFC,#EB443B,#EE5550,#D9D9C9
The Best Buono!,#000000,#262525,#727272,#787677
Time Machine,#80AEA3,#F2F2EA,#E4D779,#94D2AD
Tracel,#161615,#442522,#502721,#84152F
True Colors (Perfect Edition),#270A0E,#21033F,#2E158D,#260E62
Unfragment Remixes feat Miku Hatsune,#72C3BD,#AAE9A3,#B3D5DF,#FCFBFB
VOCALO LOVERS feat.初音ミク,#E0DCD0,#6985A9,#BE9D88,#E1E3DE
Violet Evergarden： Automemories,#EDEAE3,#D9A573,#985C52,#FFD899
W9 Hits 2013,#221C58,#F8923D,#E42C76,#422F8B
Welcome to 僕らのセカイ ／ Go!! リスタート【第1話盤】,#AAC6FF,#FDA3C7,#C7D8F6,#FCFBF9
Wish／Starless Night,#08151A,#11382B,#013C2A,#036937
You,#479DCC,#72ADC1,#D5DCC9,#FEFEFD
You 1ove 1t,#220301,#8D120B,#600606,#A5160E
Young Sinatra,#E4E4E4,#E6E6E6,#D1D1D1,#DDDDDD
Yume,#8096A4,#A2B4C4,#CED0DA,#F4F6FF
ark,#2F252D,#BD4709,#7D3565,#DB4F02
asphyxia,#02021E,#0A486F,#0A3E65,#19699A
database,#050702,#0E100F,#64191B,#0C0E0B
folklore： the long pond studio sessions (from the Disney+ special) (deluxe edition),#4B4B4B,#050505,#353535,#0C0C0C
give it back,#E7D1BA,#E0EADF,#9CB49C,#CCD7C7
humble music,#41386D,#D350A0,#D43329,#343381
merchen ticktack ／ マジカル☆スタイリング,#9F8FF3,#D878BA,#6BC3D1,#F3EADA
poco A poco,#5E5361,#C09DA9,#DED4E0,#F1F0F4
secret base ~君がくれたもの~ - EP,#F2E16D,#EAAC45,#ECBF58,#EDECE0
starlog,#15244D,#312675,#1D1733,#56336D
๏ เ เ ค เ ๏ ๏ ๏ ๏ ๏ เ ค เ,#178890,#15392F,#1E675E,#14413E
☆★Best the LM.C★☆2006-2011SINGLES,#FEFEFE,#D7D1FF,#D6ECF9,#FFFDCF
♡桃色片想い♡,#F37AA7,#F078A5,#FFABB4,#F2B1C8
「会長はメイド様！」オリジナル・サウンドトラック,#FFFCFF,#FFFFFF,#FFBD95,#F8F6F3
「傷物語」劇伴音楽集 其ノ貳 熱血篇,#123D50,#86ADC1,#0D4874,#164A62
「劇場版デート・ア・ライブ 万由里ジャッジメント」ORIGINAL SOUNDTRACK,#EEEBA6,#EEEEBA,#D7E29E,#FDFBEC
「名探偵コナン」メインテーマ,#462D1F,#C34924,#BB926B,#EADBB7
「負けヒロインが多すぎる！」マケイン応援！カバーソングコレクション,#3CB6FF,#53B5EB,#FFEB00,#F6F7F3
「進撃の巨人」オリジナルサウンドトラック,#91B2D3,#3B6C8A,#517AB5,#AAD2F2
「飞彩镌流年」游戏原声EP专辑,#912F2C,#752F4B,#CB6F86,#683019
『ウマ娘 プリティーダービー』WINNING LIVE 08,#563DE3,#108AED,#353CE4,#1FBAF0
『劇場版 響け！ユーフォニアム～届けたいメロディ～』オリジナルサウンドトラック「The only melody」,#824C5C,#2882B9,#85C5E5,#E0EEF6
『小鳥遊六花・改~劇場版 中二病でも恋がしたい! ~』主題歌集 ~中二病奥義・三曲の極み~,#FCFFF8,#8D67E7,#E86069,#E37AAB
【原神新春会】归途,#E2ACCC,#F5EBF3,#9B7EC5,#F9CFF7
【星火行动】朝汐（泠鸢&双笙）,#062F46,#2A7592,#48B1C9,#D5E0E3
あなたに出会わなければ〜夏雪冬花〜／星屑ビーナス,#111424,#2B415E,#5778A2,#A8C4E1
ありふれてたい,#8D637B,#B06260,#844F61,#420A09
いらないもの,#FEEF30,#FFDB48,#FDF12B,#F37775
うまるん体操 (TV size),#583346,#8B96B1,#E3C093,#EBEDEF
えがおのオーケストラっ！,#A7D7FF,#DDD6FF,#F9D94F,#EE7676
おきみやげをあげる,#8D2210,#922307,#C16615,#BE551C
お手上げサイキクス,#C71113,#8A0D0E,#580A0B,#450809
きゅうくらりん (Cover),#FFAAD4,#FDF4F9,#FFF36D,#FFF36D
この世界で,#ACBAC5,#C1CAC9,#92A7B8,#B6C1C7
すずめ feat.十明,#50B0EC,#39A4D8,#EFF0E8,#F1E1A6
そして最後のページには,#E9E9F5,#EF7CBF,#E99811,#E35666
それを愛と呼ぶだけ,#CC7D9A,#E3C3D2,#F5BABE,#F3F6ED
ただ、君のままで,#171D1B,#366D67,#3F736F,#76AEA1
たぶん終わり,#FF9899,#FF9899,#FFC3C3,#8DDFF4
とある魔術の楽曲目録,#F4F4F4,#EFD77F,#C8D5E6,#FBFAFA
ときめきルールブック,#FBE78E,#AEDCF4,#FFBFF1,#E4D4FF
どんなときもずっと,#FFFC93,#FFD759,#DF9C41,#FEE475
ぬらりひょんの孫オープニングテーマEP,#C7868A,#89C4C8,#FFFFFF,#FFFFFF
ふたつの月 ~Deep Into The Forest~,#181616,#690317,#151618,#0E0E14
ぽっぴん'どりーむ！,#5AC45D,#CBF1FE,#839CDD,#96B7FC
まばたき,#131417,#583728,#5F372D,#AD702F
もしもからきっと,#3B3D77,#607ABF,#A6B0D5,#DAD8E8
ゆら・ゆらRing-Dong-Dance,#BED79D,#F6B7BF,#F8FFF8,#FEEDF7
ゆるゆり うた♪ソロ!06「イッツハッピーデイ!!」,#FFFFFF,#E2DAE5,#E1BAC5,#F0E6DC
ようこそジャパリパークへ,#FC606B,#D98264,#FEE6E2,#F5E8E6
らぶじゅてーむ,#3A3339,#ED9C9F,#7FBFD5,#F4CEC9
らんしゃましゃんしゃん♪,#EBB18B,#FBC28D,#EED8DA,#FAF4F0
わちゅごなどぅー,#936283,#76ACB7,#DBA673,#F4EBE1
アインシュタインが解けなかった問題,#EEEBE4,#EEEBE4,#E6DCD3,#F6EADC
アゲハ蝶,#6CCAF0,#97D8F8,#97DAF7,#95DAFB
アニップス,#9ED3C1,#3DA4BD,#FBFBE3,#FEF5DB
アニメ「ポケットモンスターXY&Z」キャラソンプロジェクト集vol.2 -総集編-,#4AA7E4,#E7BE2A,#FFFFFF,#CFDB3B
アニメ『約束のネバーランド』オリジナルサウンドトラック Vol.1,#88955D,#207A9F,#1B7E9E,#247D9F
カオスが極まる,#BBBBBB,#BABABA,#D3D2D2,#FEFEFF
カゲロウ,#131113,#871111,#D80116,#C30010
カドワナルカ＝ドロップゾンデ,#FFC887,#FCEE0F,#F4E735,#F4F25F
カラフル。,#FFFFFF,#F8DDC8,#FFFFFF,#FFFFFD
キミを れっつ・はぶ・ふぁん♪,#474190,#7856E8,#E8295A,#FE6D32
キミノタメボクノタメ,#FBF7F6,#F4D6E2,#ADDDE7,#FFFEF2
コンプリケイション デュラララ!!盘(期间生産限定盘),#D7E0D7,#768B8F,#DBC87D,#F4EDDE
シュガーソングとビターステップ,#5392B8,#0A7FC7,#CFBCAB,#D5C2B1
スクールランブル：塚本八雲,#FFE3DC,#D14838,#FFD9B2,#FDFCFA
スター,#575A9A,#90A6CC,#C1A28D,#E9E7E8
ツギハギスタッカート,#FFFFFF,#F0D6B9,#F5CEE9,#FFFFFF
トリセツ,#CFE3C1,#59B793,#FBDDB7,#F7D8D4
トンデモ未来空奏図,#FFEA01,#FCD305,#FEEA00,#FCEC43
ネガティブ進化論,#1F1920,#2F2651,#5EACD6,#3477D0
ハミング,#CBB6B1,#66808F,#CAADA2,#EAE5E2
バカ通信,#6E6E6E,#C3C3C3,#C1C1C1,#DBDBDB
"ビタミンSUMMER！ ／ Chance Day, Chance Way！【第8話盤】",#F8D00E,#F4DA79,#EFC42E,#FFEA34
ファティマ (TVアニメ「シュタインズ･ゲート ゼロ」OPテーマ),#171C1C,#3E4240,#1A2225,#797456
ファーストワルツ,#0B071A,#0886AE,#581D4B,#121936
ブラックホールディスク,#48464A,#7D787E,#4B4A50,#464445
プロローグ -Star Divine-,#9A2D33,#CA8969,#D3AA7C,#D19175
ベテルギウス,#111221,#0F0F19,#121423,#171624
ホワイトノイズ,#39363E,#770E0E,#121212,#373735
ボーキサイトが底をついた件,#F6F8F3,#8A7385,#DDFFDD,#FFFCF9
マタアイマショウ,#888983,#A0A19B,#8FA6A0,#EBEEEA
メグメル／だんご大家族,#DFE8F7,#FAEAF4,#C3D0E3,#EBE3F0
リセット,#A2A9A2,#E4E8E9,#E4EAEA,#92988C
レミングス,#162232,#28417F,#0F1B31,#22397D
ロウワ―,#0E3C74,#E0AB39,#F2838C,#8D8CB2
一心不乱,#FF0107,#FF0107,#000000,#FD0005
上海ハニー,#EA8010,#E53783,#EC8A19,#E87E10
不对等天体（洛希极限）,#203F37,#717D6F,#444B9A,#739D6D
中国京剧有声大考,#2D3528,#6C6948,#B2985E,#BEA56B
中国说唱巅峰对决 第九期,#FCFAFF,#4C75A1,#33C096,#F7FFFF
乙女解剖 (Cover),#1A2A3D,#174060,#183F60,#1364DA
亲亲,#7B848B,#737574,#8D9391,#A4ADAC
今年会更好,#DC803F,#C85F48,#C74223,#A7405E
他们根本不是Rapper,#0E080C,#551D20,#413C5A,#57262A
你那边现在几点？,#1B1607,#4F3E24,#F8F105,#3C311B
倒流时间,#0D2941,#0D3479,#554C25,#0E2C50
做自己的月亮,#19212C,#274044,#6E8384,#40555A
像草一样,#CC0404,#860404,#460303,#040404
初音ミク-Project DIVA-extend Complete Collection,#058CCA,#9CE9EF,#62C4DB,#11B8BE
創生,#552727,#501A1C,#4C1015,#301014
劇場版「AIR」サウンドトラック,#6C7CA1,#95A1C7,#87C5DF,#D9E6ED
劇場版『FAIRY TAIL-鳳凰の巫女-』オリジナル・サウンドトラック,#3E150F,#A64436,#902619,#322575
十八番尽くしの歌宴に祝杯を!,#0F1022,#3E282A,#050819,#B57D33
千灯展卷,#433021,#995E36,#8F4D33,#A54219
午夜の待ち合わせ,#0B141B,#415964,#935E4C,#284A54
卯酉東海道 ～ Retrospective 53 minutes,#1B1009,#674528,#584826,#F1D600
原神-「未行之路 The Road Not Taken」游戏原声EP专辑,#4E7435,#C8AD03,#6E760B,#485D12
可愛いあの子が気にゐらない,#37706B,#537676,#8BA4A4,#DCD5D2
可愛くてごめん（TVアニメ「時々ボソッとロシア語でデレる隣のアーリャさん」エンディングテーマ）,#F0D4E0,#F74F7D,#75AECB,#E8DAE1
君色シグナル,#C08039,#DC9953,#DFDBDA,#DD9D56
听见中国听见你,#8C2C20,#DBAA75,#D19D52,#892B1F
吹き消した灯火,#82C6F5,#CDC5B8,#8CC8F1,#FFFFFF
圣诞星 (feat. 杨瑞代),#110402,#5E2D0F,#C1772C,#3F0201
在雨后醒来,#2D6E94,#BCCCD9,#88B2C0,#578BA1
境界の彼方(アニメ盤),#3F2B60,#51273B,#282F75,#264178
声光回忆,#262919,#212517,#A37D3C,#31301E
壱雫空,#5CC3D2,#A8D8E2,#508FB5,#53A6C8
夏に閉じこめて,#371F2A,#9A4F32,#69362D,#4B3442
夕暮れの鳥／光の言葉,#FFFFFF,#FFF000,#E8DF49,#E9E9E9
大声唱,#39280E,#916731,#D5A32C,#A28703
大预言家,#0A0C16,#030F29,#17111B,#04122F
大马 Music Man 纪念精选辑,#0A0E14,#2F3D4B,#77838E,#B9CFD7
天天天国地獄国 (feat. 初音ミク & 重音テト) [Cover],#FEF1E1,#CE314A,#4FE1D7,#FFC9B4
宇宙孤儿,#538FCD,#DE8D3C,#B2D845,#D23EB8
"寄る辺のSunny, Sunny",#DFCFDC,#E1D5DF,#DBD7EE,#575E73
寄生獣 セイの格率 オリジナル・サウンドトラック,#050836,#C5120C,#1B4AAF,#2275AB
小さな恋のうた（TVアニメ「時々ボソッとロシア語でデレる隣のアーリャさん」エンディングテーマ）,#F7DCE5,#FDE0E4,#EDE2E8,#0499C4
小喋日和,#F87E75,#3D6CB0,#1D4791,#1D4791
小霞 2.0,#9F9F9F,#A9A9A9,#D2D2D2,#FFFFFF
山海问爱人,#28405A,#895852,#415E6E,#633525
庆长生,#12306E,#DBC754,#7C7545,#4F5DA6
弥渡山歌（说唱版）,#42474A,#555E5D,#874B31,#565C5A
徒花ネクロマンシー,#4A1411,#8B7900,#52142B,#70112A
忘形,#13110C,#19252A,#3D271E,#503A2C
怪物,#B40100,#550F0F,#2E0000,#9F2827
想对你说,#E6E6E6,#C0CDDE,#9EBDD2,#ACBCC9
愚痴り合い～聞いてよ最近彼氏がさ、～,#EEF1FA,#FD7B8D,#F1EFF4,#9FBFEE
我们以后要结婚,#A4171F,#C11C28,#8D2331,#BD803F
我妈爱Say No,#A9B5C1,#F1099D,#2D6BA6,#8692A8
我是歌手 2015巅峰会,#E9E28A,#34BEAF,#E0EBE7,#DA91AB
我是歌手第二季 半决赛,#23161C,#1B1217,#3B3853,#5D323B
我爱你但是我要回家,#E8CE57,#D47B53,#E0BA4B,#D37454
戸松遥 BEST SELECTION -starlight-,#B6C9E9,#CAD9EC,#C2CCE5,#E6ECF8
敕勒歌,#3E5891,#345983,#4C6547,#103377
敢归云间宿,#593D25,#876C61,#5E7392,#252A3D
文学少女インセイン,#6C2722,#923B2A,#A1302A,#582923
斗鱼 电视原声带,#10120D,#521212,#181914,#10120D
新·神明对话日记,#D4EAFF,#99D4E8,#FFFFFF,#98E5FF
新時代 (ウタ from ONE PIECE FILM RED),#D88BAF,#EACBA5,#F1E1CE,#F1E0CE
无名长诗,#080407,#773531,#C78584,#EFD3C3
无法告别的梦境,#5080E4,#6FA7F5,#A3C1F5,#E4F0F9
日本アニメーション創立25周年企画 アニメ主題歌大全集 ～オリジナル原盤による～,#F6FF9F,#E0E4E7,#FEFEFE,#FEFEFC
时光.漫步,#0F1013,#36363C,#333238,#0D1114
明朝有意抱琴来,#FFF8EE,#B2AFDE,#FFFFFF,#C770B4
星の舟 ／ Gentle Jena,#7F5988,#7A5382,#2E61A3,#86608F
映画「犬夜叉 時代を越える想い」音楽篇,#2E3A76,#891A20,#07080D,#303464
春を告げる,#090A29,#20164A,#2D3269,#6B5697
春夏秋冬 TOUR LIVE,#F7EEF1,#C3E4ED,#F6BFB8,#F8EFF2
是妈妈是女儿,#B38786,#B89290,#CFBAB8,#FBF5F1
昼梦盛宴,#110715,#18092A,#4F1C3D,#421639
最強ガール,#FCC1F1,#76C4DA,#A694F8,#FFDE68
最新热歌慢摇110,#F4DDB1,#C6A266,#91764B,#EED2A2
最新热歌慢摇112,#333229,#746441,#2B2D28,#9F7F46
最新热歌慢摇95,#60553D,#EBC98A,#C0A371,#F0D8AE
有夜無夜 -VOCALOID ver.-,#1B1C25,#625866,#CDA1B0,#0AF7B5
東方外來韋編,#C32C1B,#85271F,#C19B4B,#FFBE58
東方幻想的音楽　～ Music,#110C01,#413003,#90720A,#EBE5D8
枫叶城,#CAE0EE,#DE712E,#F3F3F3,#D46F49
桜流し,#DADEEA,#B0BEC7,#91A0A3,#F5F4F9
止マレ！,#619AB7,#FBDFC7,#EDF0DD,#D6926F
正解,#BD2631,#D46069,#F5A7AD,#FEFCFC
武侠音乐系列之后悔莫及,#DE5437,#EB9FAF,#FBEAF2,#F6E7E4
死ぬにはいい日だった,#070605,#3D3530,#383735,#181715
永不结束的歌,#281220,#804A76,#844481,#441B3D
流年如歌2022,#36283F,#3C3DB1,#392A63,#362839
混沌ブギ,#2C1E29,#630233,#553C61,#813B51
漂流,#FDF5D1,#A8E8DA,#7FC4C9,#45678D
热爱105°C的你,#F4686A,#C5E4C2,#7DCCDB,#F2F2F2
熱情のスペクトラム／涙がきえるなら,#E8DE0D,#BDD720,#2AA380,#4BB99E
现在是什么时辰了,#F6C234,#F47B37,#DBB951,#DEC962
珠玉,#05060A,#252C3A,#2D3743,#576373
盗墓笔记·十年人间,#050304,#373536,#21201E,#262425
目及皆是你,#675A5E,#DB8B6A,#A2ADBB,#D3D6E0
神様はじめました／神様お願い,#141311,#211F20,#CE271F,#651C12
私じゃなかったんだね。,#607D81,#84A1A9,#DFE9EB,#CDD8DC
竹枝词,#78BBB3,#B1E0D5,#D0EBE6,#ECF0ED
絆／夏夕空,#0B1514,#485C55,#91ADAE,#EFF0F1
結束バンド EXTRA MUSIC 3,#6E6E6E,#D7D7D7,#E5E5E5,#FFFFFF
绝区零-覆灭重生 Come Alive,#0C1117,#3A3A3C,#8E939F,#0A0F15
绿色,#3F4146,#525661,#576F4D,#3E4C3D
胡口桃生,#6F2B29,#F41B18,#7A5953,#D7C2B4
臆病な白夜,#A0D1F1,#CDE7F4,#8CC8F1,#F0E9E4
致並跡,#80BF6F,#F0EBD5,#92B3A8,#DED8B4
花園電気ギター！！！,#FEEDE5,#97D8DA,#2B7FDB,#F5F5F5
萤萤微光,#142745,#1F4A75,#38485F,#576B67
蓬莱人形 ～ Dolls in Pseudo Paradise,#FC8E13,#DD5C00,#F8D615,#E64F08
虚仮の一念海馬に託す,#C8B799,#C788A5,#DBB6A4,#D6BAA6
裸の勇者,#AE0004,#A30005,#860106,#CC0325
誰にもなれない私だから,#3AC093,#E684C0,#DAAC31,#4CC1DA
謳歌爛漫,#F9E6FA,#DC85D6,#D5AD2A,#A55C94
贫民百万歌星,#030303,#000000,#000000,#DE000F
超える,#102948,#3F4462,#1B3251,#45B5E7
超能力患者AMAS音乐故事企划,#13089B,#752E6F,#4D2967,#A72319
迎马,#0C0E1A,#294F38,#AB731C,#22244A
迷星叫 (パラレルver.),#55A6C1,#89C2D3,#A6CED8,#FAE2E0
遠いこの街で,#479393,#E0B57C,#98D9C0,#F7F3DE
遥かな日々,#5D80BD,#A6CFE3,#EDFFDB,#F6F4EE
