图片名称,用户名,颜色1,颜色2,颜色3,颜色4
Be Alright,Betta_Fish,#A553F8,#CC9FFF,#F4EBFE,#F4EAFD
Believe in my existence,Betta_Fish,#361523,#9F212F,#131A2A,#583A76
Best wishes,kengwang,#2E3A52,#2E3A48,#564B3B,#222A3D
Between Us,Betta_Fish,#171D2F,#1B2950,#182671,#1D2643
Bling-Bang-Bang-Born,Betta_Fish,#E18E5A,#EDD281,#D68C56,#E2C695
Blonde,Betta_Fish,#5F7654,#606068,#433635,#B0B6C0
Bloom,Betta_Fish,#0E0E0E,#060606,#131313,#191919
Blue whale (蓝鲸),Betta_Fish,#3777A5,#142036,#3F628A,#426F99
Bluish Light,Betta_Fish,#6E6CC0,#F8CEB8,#FAD6B2,#FCDFB7
Blurring,Betta_Fish,#EEEDEB,#F3965D,#D2D1B3,#EF9D78
Boost!,Betta_Fish,#3F0021,#A20459,#A4005B,#6E003D
Boys be Smile ／ 目覚めた朝にはきみが隣に,Betta_Fish,#491715,#6E332F,#27130F,#94252E
Brave Shine (期間生産限定アニメ盤),Betta_Fish,#1D1310,#87090D,#4F1219,#14130F
Braveheart Coaster,Betta_Fish,#630D2A,#2980E5,#CA533B,#0971C6
Breakthrough!(Blu-ray付生産限定盤),Betta_Fish,#37272A,#8F71D4,#6A36D6,#48B3DD
Butterfly Wing ／ エーデルシュタイン,Betta_Fish,#1A354A,#3C7994,#2C5F7A,#A672A8
Butterfly ／ Solitude Rain ／ VIVID WORLD【桜坂しずく盤】,raspberry_kan,#009DDC,#00415B,#019DAC,#014C74
B地区戦隊SOX,Betta_Fish,#91262A,#430F11,#480E11,#837B03
COLORS,raspberry_kan,#00C142,#B9C012,#713AC1,#0372B7
COME ALONG 3,Betta_Fish,#1E5B5E,#126249,#0E6399,#509DCB
COWBOY CARTER,Betta_Fish,#040302,#131212,#1F1712,#1E0F11
CRAZY FOR YOU,Betta_Fish,#9DDDF6,#4BBBFF,#99E500,#76D1FF
"Can now, Can now",Betta_Fish,#F4B4CF,#FFE562,#F4ADCA,#FFFFFF
Carnivore,Betta_Fish,#080604,#19180F,#878987,#655B52
Carry on,Betta_Fish,#0D2182,#2769B3,#AD48BE,#102D57
Catch Me If You Can,Betta_Fish,#1E2A37,#050915,#2D8C8C,#67758F
Celestial,raspberry_kan,#16B3B3,#178080,#189999,#1FDADA
Chapter III：刺猬,kengwang,#030200,#16120F,#693612,#010300
Choir ‘S’ Choir,Betta_Fish,#1C1B1E,#442C4C,#43485C,#463E53
Cinematic Songs (Vol. 2),Betta_Fish,#010206,#050F19,#122A3B,#272B49
Clap Your Hands (feat. Ava Max),Betta_Fish,#C6CCCC,#EB92A9,#CBBBB5,#DCE2E2
ClariS 10th Anniversary BEST - Green Star -,Betta_Fish,#C7E4D2,#D8ECE0,#D3EADD,#ECFFF4
Closer,Betta_Fish,#BE9484,#D7D7CD,#D7D7CB,#D7D6CB
Collage,Betta_Fish,#E17F8E,#F7BFDA,#9EBABE,#D7FAFF
Colorful Story,Betta_Fish,#DECE47,#00753A,#00A8CC,#0777C1
Cupid – Twin Ver. (feat. Sabrina Carpenter),Betta_Fish,#79DDA7,#A5DFC9,#A2DDD9,#A1D0E4
C、Dですと!？,Betta_Fish,#E30083,#0893BE,#C6B810,#00A300
DADDY! DADDY! DO! feat. 鈴木愛理,Betta_Fish,#9A373C,#944148,#933942,#C35F61
DANCING DARING,Betta_Fish,#105585,#926690,#1E2D88,#24398A
DAY×DAY (Cover),Betta_Fish,#270E0E,#A1263A,#B93751,#9D2040
DEAREST DROP,Betta_Fish,#0E4C6B,#3696D1,#2F6286,#35A2DD
DEVILMAN crybaby Original Soundtrack,kengwang,#000000,#630100,#BD2402,#A51A03
DIGIMON HISTORY 1999-2006 All The Best,Betta_Fish,#A75D8E,#947A8D,#C1A9B3,#F2E4E4
DREAM,Betta_Fish,#190B0E,#361D1A,#511E0D,#1B080C
Daisy Crown,raspberry_kan,#EAB076,#7E9BFD,#E57283,#FADDBB
Dawn FM,Betta_Fish,#010101,#071923,#1F4452,#09131C
Daydream Forever,Betta_Fish,#1B2D3B,#1B2B3A,#7A6051,#243638
Dear answer,Betta_Fish,#63A543,#00638C,#0197CC,#3C7741
Deep Blue,Betta_Fish,#2E3D79,#597D8C,#091C69,#2656AA
Deep down,Betta_Fish,#FFFFFF,#9A9A98,#C9CACB,#F9FAFB
Delights,Betta_Fish,#A19AA1,#ACA5AD,#C9C2D2,#8E858A
Desir,Betta_Fish,#093B3F,#326A6D,#17524E,#184F4A
Desktop Magicians,Betta_Fish,#105590,#013766,#03A8BB,#7B1E4B
Die Ultimative Chartshow (Die Erfolgreichsten One-Hit-Wonder),Betta_Fish,#ECA10A,#EFC533,#F3D263,#E88913
Dish of the Day,Betta_Fish,#5370AC,#6676B1,#AA5C6C,#5F74AD
Don't say ＂lazy＂,Betta_Fish,#080808,#A53147,#030303,#3C4483
Dragon Night,Betta_Fish,#07070D,#646C47,#664115,#966D2F
Dream It Possible,Betta_Fish,#661210,#811314,#38464F,#270C11
Dream Voyage,Betta_Fish,#7FAED5,#B0D0E0,#FDF5E8,#E6ECEC
Drive Your Heart (TV Size),kengwang,#020D43,#061A5F,#2C53A0,#456CB1
D／N／A,Betta_Fish,#320D24,#52284A,#621E4F,#2D0216
ENGLISH BEST,Betta_Fish,#D4A18D,#EEEEEC,#EDEDEB,#F6F7F7
ENJOY IT！,Betta_Fish,#00CDFC,#DDFEFF,#00D2F7,#02CEFF
ENTERTAINMENT,Betta_Fish,#120E0C,#506352,#110D0A,#100E0F
ERA,Betta_Fish,#010103,#13223D,#09514E,#B812B8
ETERNAL FLAME 〜空の箱,Betta_Fish,#4C7FC0,#6C94C6,#B2B0BC,#DCE0E7
EVILS FOREST,Betta_Fish,#2C5EA4,#1F366C,#233567,#0D1114
EXIT TUNES ACADEMY BEST 4,Betta_Fish,#2DA9CF,#31AAD5,#287CA1,#229EC4
EXIT TUNES PRESENTS GUMing from Megpoid,Betta_Fish,#8BBB05,#AFCD12,#EF7F00,#EEF665
EXIT TUNES PRESENTS Kaitonation feat.KAITO,Betta_Fish,#2C2F70,#4A6AAF,#181E76,#2E3E8B
EXIT TUNES PRESENTS Megurinemotion feat. 巡音ルカ ― 10th ANNIVERSARY BEST ―,Betta_Fish,#FFF5F9,#9B6F86,#F867A8,#F7F3F4
EXIT TUNES PRESENTS THE BEST OF GUMI from Megpoid,Betta_Fish,#8CC80A,#A2DD2F,#B3E533,#FEF339
EXIT TUNES PRESENTS Vocalofantasy,Betta_Fish,#FFFFFF,#CBC683,#B5AE82,#FEFEFE
EXIT TUNES PRESENTS Vocalostar feat.初音ミク,Betta_Fish,#FFFFFF,#8F9393,#21CDA5,#C9CAC5
EXIT TUNES PRESENTS 私とボカロのある日常,Betta_Fish,#F1DEDA,#F6ECE0,#D0D0D2,#FCFBFC
Eclipse,Betta_Fish,#15110E,#171510,#43291A,#181510
Elevate,Betta_Fish,#2E231E,#50281E,#241F19,#29211E
Emoji,Betta_Fish,#0A0A0A,#111111,#0C0C0C,#2B2B2B
Ender Ember,Betta_Fish,#010101,#390803,#521008,#1D0503
Endless Road,Betta_Fish,#CDCBC8,#9C9B9B,#FFFFFE,#FDFDFD
Equilibrium,Betta_Fish,#786DB1,#F0C4D1,#DDC2CD,#E4ECEE
Error,raspberry_kan,#45688E,#F0E6E4,#ADB3D3,#F7F7F7
Everlasting【期間生産限定盤】,Betta_Fish,#61245D,#7E3147,#DC3D60,#4A1622
F1 The Album (Cinematic Edition),Betta_Fish,#C45539,#62392E,#010101,#643E29
FACE,Betta_Fish,#171C1D,#172027,#354552,#1B282E
FAKEit,kengwang,#146B89,#185164,#579FA7,#DCE7E7
FAREWELL MORNING LIGHT,Betta_Fish,#D17391,#FFFFFF,#FFFFFF,#6ABBD3
FIRE BIRD,Betta_Fish,#140B16,#543037,#3D1144,#2E1141
FLOW ANIME BEST 極,Betta_Fish,#FFF5AD,#8ED4EB,#F98C85,#B2FF99
Fairy Castle(Deluxe Edition）,Betta_Fish,#694078,#A16590,#E96DA9,#7568AE
Far far away,Betta_Fish,#BAD8E2,#DBF0F5,#A8C5D5,#FAFBF4
Fate／stay night [Unlimited Blade Works] オリジナルサウンドトラック II,Betta_Fish,#522F33,#936C47,#3C1920,#7C0700
Fiction,Betta_Fish,#391D10,#1C5A7C,#B8551E,#982C32
"Fly, My Wings",Betta_Fish,#3E4D6E,#3F4E6D,#606277,#4E526F
Fooocus,Betta_Fish,#26192B,#6E7F86,#351A29,#171836
Forever...,Betta_Fish,#82A8DF,#8DA8C5,#B9D1E5,#FAFCFD
GIRI GIRI,Betta_Fish,#04396B,#36846A,#93151F,#411A35
GREATEST HITS 2011-2017 “ALTER EGO”,Betta_Fish,#8989B7,#BCB5C9,#E0D7E0,#F5F3F4
GUTS (spilled),Betta_Fish,#1F161E,#513E63,#95725E,#20182D
Gesungene Marschlieder,Betta_Fish,#6FA73C,#8DC951,#9CD357,#DAE3CE
Git Fresh,Betta_Fish,#0F0F10,#5F5E5C,#21211F,#040404
Glossy： MMM,Betta_Fish,#294598,#3A7BBD,#7FA5C9,#5B90C6
Golden Time,Betta_Fish,#F93463,#E96683,#F0B5C3,#FEFDFD
Grow Old With Me,Betta_Fish,#D7D7D7,#BDCCDF,#8C9DB9,#93A6C7
Guilty!？ Farewell party,Betta_Fish,#8A6DA3,#39488C,#663294,#192C92
HALF,Betta_Fish,#8FAAC8,#97B0CE,#87A1BE,#D9C0B9
HONEY (Cover),Betta_Fish,#131579,#3B42EB,#5655F8,#BE79D2
HUNTER×HUNTER ― オリジナル・サウンドトラック Vol.1,Betta_Fish,#F4E3CF,#FBE5D7,#E4BFA4,#E0BDA1
Heart'n Hearts,Betta_Fish,#FEEA6F,#FDBF58,#F5D06C,#FDFDBD
Heartbeat,Betta_Fish,#F7CCDF,#C7E2FC,#E4F0F9,#FEFEFE
Henceforth (feat. IA),Betta_Fish,#408BDE,#5A9CDD,#98C1E8,#D8E9F6
Here,Betta_Fish,#1F131D,#39323C,#1F151E,#6A6C78
"Here, the world!",Betta_Fish,#E7FFCD,#E5BAB8,#D4F8A0,#FAF8EE
Higher,Betta_Fish,#417E7E,#849D9C,#C4C4B3,#DFCDB5
HoYoFair2023 原神同人特别节目,Betta_Fish,#383E51,#192E65,#9CB1DA,#152233
"Hopes, Dreams, Wings",Betta_Fish,#C8C0CB,#CBC2D2,#E9DADF,#F9F5F7
Human (Deluxe),Betta_Fish,#432747,#4664AA,#4662A1,#46305E
Hurray Hurray,Betta_Fish,#28295F,#2258A2,#094299,#1F208A
Hurray!!,Betta_Fish,#845132,#C8935F,#C89C71,#DAB88A
I AM GLORIA,Betta_Fish,#C85454,#A23E64,#B75562,#8A3548
I I I,Betta_Fish,#ABABFA,#AF9FF7,#ADC6E7,#F8F2FE
I am...,Betta_Fish,#FFFFFF,#7EA8D0,#83A9D0,#D4E4F3
I'm BACK,Betta_Fish,#871941,#721534,#470722,#14131B
INVERSE,Betta_Fish,#070707,#2B2E2E,#595959,#4B9B9E
InfiniteHOLiC,Betta_Fish,#EFF0F4,#52ACD1,#87A2BB,#FAFBFB
Initial D Best Song Collection 1998-2004,kengwang,#750A0B,#C60407,#D10508,#7B0909
JJ陆,Betta_Fish,#1D1B22,#363F3B,#212725,#676E63
JOINT,Betta_Fish,#FBF5D1,#DAC876,#FDF8DB,#F8F3D8
JUMP！BEAT！PLAY！,Betta_Fish,#283653,#812635,#41425E,#4661A8
JUVENILE,Betta_Fish,#D5E1EF,#BFE2F5,#DCDFF0,#F1F7FC
Just Believe!!!,Betta_Fish,#DF1C84,#972C58,#EB7B4B,#ED7E39
Justice (中国豪华特别版),Betta_Fish,#081E20,#87A004,#13242B,#148253
J世纪Jeneration大牌新曲+精选盘2006-2009,kengwang,#07051B,#1F1A54,#172144,#2A2D72
K-ON! Rendou Oubo,Betta_Fish,#7CB9E5,#D48099,#63AFE1,#70BDF3
KAF+YOU KAFU COMPILATION ALBUM シンメトリー,Betta_Fish,#DBC48C,#E8CF94,#FDECDC,#FEFEFD
KAGAYAKI Don't forget!,Betta_Fish,#CAEFF8,#F30487,#8AD4EB,#3EADDE
KILL la KILL Vol.1 Bonus CD,Betta_Fish,#EAC6C8,#FFF5F3,#D6C9C1,#C8C8C8
KISS OF DEATH (Produced by HYDE) (アニメ盤),Betta_Fish,#0595CB,#DDB2BA,#FAC9C8,#FCEBDE
KISS OF DEATH（Produced by HYDE）,Betta_Fish,#000000,#5A4238,#060606,#1A1A1C
KNOW KNOW KNOW,Betta_Fish,#FED8CF,#F5B7B8,#E4DEDE,#F8F7F5
KOE,Betta_Fish,#04112C,#0A4069,#04416E,#6686A5
K歌之王 AIR,Betta_Fish,#122221,#1A2320,#000000,#924A24
LAUNCH,Betta_Fish,#3A30A7,#AD57E0,#2B258F,#904BD9
Last Desire,Betta_Fish,#3797C1,#3F6B92,#33599A,#0C2C5F
Leave This Place,Betta_Fish,#12244C,#11366A,#FF5792,#1C4F86
Lefty Hand Covers,Betta_Fish,#F5E7E7,#FEFEFE,#D5BFC2,#EFE5E6
Light Mellow 松原みき,Betta_Fish,#EE9477,#E45D9A,#F3B1CD,#F6D9DB
LilaS,Betta_Fish,#0D1F35,#3E516C,#333F50,#05152E
Linger in the Rain,Betta_Fish,#16234A,#143C77,#0D101F,#121933
Lioness’ Pride,Betta_Fish,#399ACD,#52ABD5,#9DC9E2,#DEE0EC
Lipstick／一番星,Betta_Fish,#B67978,#DDC2A4,#D2BFB3,#EFEBE9
Listen to Smile!,Betta_Fish,#895869,#ADA3C8,#EABE63,#E8EFE7
Little Wish,Betta_Fish,#EF8570,#ACCFD8,#E6CDC6,#F0EBE8
Lock Me Up EP,Betta_Fish,#020403,#1A1A1A,#212121,#515151
Lost,raspberry_kan,#FF9DBC,#FFDCE8,#D65269,#FEE3D8
Love Live! Sunshine!! Third Solo Concert Album ～THE STORY OF “OVER THE RAINBOW”～ starring Ohara Mari,Betta_Fish,#281E55,#5E388D,#AF46D6,#A62FD6
Love marginal,Betta_Fish,#F7CDDB,#BD075E,#F8C1D4,#FFECE5
Love wing bell☆Dancing stars on me!,Betta_Fish,#1B3276,#4E2342,#7D4863,#1A2346
LoveLive! Sunshine!! Second Solo Concert Album ～THE STORY OF FEATHER～ starring Kurosawa Ruby,Betta_Fish,#F8949C,#FCE7F0,#F2CDDA,#FBF7FA
LoveLive! Sunshine!! Second Solo Concert Album ～THE STORY OF FEATHER～ starring Tsushima Yoshiko,Betta_Fish,#FEFFF1,#B8D6E1,#AFCCF4,#5573BF
LoveLive! Sunshine!! Second Solo Concert Album ～THE STORY OF FEATHER～ starring Watanabe You,Betta_Fish,#70C7BF,#A2D9DE,#92D6E7,#F2F6F7
LoveLive! Sunshine!! Third Solo Concert Album ～THE STORY OF “OVER THE RAINBOW”～ starring Takami Chika,Betta_Fish,#6C242F,#BF582B,#852024,#6B2362
LoveLive! Sunshine!! Watanabe You First Solo Concert Album ～Beginner's Sailing～,Betta_Fish,#82BFEC,#B9B9F5,#FFFFFF,#7ECDF4
Lunar Calendar,Betta_Fish,#ADADAD,#C8C8C8,#E3E3E3,#FEFEFE
MANGOTALE,Betta_Fish,#7EEFB1,#FEE0AC,#FFCFE5,#68EEF7
MIRACLE NEW STORY,Betta_Fish,#DCC0FD,#FAC6F7,#A7DCFE,#F4E8E5
MIRAI,Betta_Fish,#FEF1F8,#B6B5D5,#EEC7CA,#F5ECE7
MUSEUMでどうしたい？,raspberry_kan,#F2EBDB,#D28E45,#80BCD4,#FBF9FA
MY舞☆TONIGHT ／ MIRACLE WAVE,Betta_Fish,#3C2A2F,#DE4815,#D42214,#382016
MaBLE SYNDROMe,Betta_Fish,#2B2A3F,#7C1515,#831515,#B45518
Magia,Betta_Fish,#0C0704,#0D0C0A,#6A1C2C,#0D0805
Marble,Betta_Fish,#F5D6B9,#F7DFC3,#F5B48E,#FBDDC1
Mariage -tribute to Fate-,Betta_Fish,#062730,#193F40,#54674B,#8B7953
Melting White,Betta_Fish,#2B171C,#583C3A,#160910,#1B0C11
Mercury - Acts 1 & 2,Betta_Fish,#221514,#70171C,#5B191C,#AC3134
Mermaid festa vol.2 ～Passionate～,Betta_Fish,#36221B,#AF684B,#B45E21,#C7A001
Message,Betta_Fish,#B1B09E,#B8B6A7,#B5B4A2,#6C6958
Midnights (3am Edition),Betta_Fish,#5C667F,#000A1A,#724242,#422332
Million Days,Betta_Fish,#D6D2C6,#B6819D,#DAD3C9,#ECE5DC
Monody,Betta_Fish,#251B26,#2B2B33,#507375,#51727B
Monstrosity,Betta_Fish,#140E0F,#521616,#6B0C0A,#63070C
Mood,Betta_Fish,#270C48,#8F307E,#361472,#A5399E
Mood (Live),Betta_Fish,#270C48,#90317E,#692964,#160635
My Dear SiSTARS! ／ 大げさに愛と呼ぶんだ,Betta_Fish,#77DCF0,#77DAEE,#7EEAFF,#F4F6F3
Mysterious Magic,Betta_Fish,#1D0F0A,#A56B4B,#906A3D,#523314
NARUTO-ナルト- 疾風伝 オリジナル・サウンドトラック,Betta_Fish,#000000,#57511F,#191A1F,#000000
NEW ROMANCER2,Betta_Fish,#17141F,#640910,#124B47,#232879
Na Na Na,Betta_Fish,#A73C56,#A73982,#B88169,#C573A3
Nao'ymt wit'-1st Season-,Betta_Fish,#0F0B05,#855210,#7C2320,#A65329
Naoko PREMIUM CD BOX 25 discs + photobooks,raspberry_kan,#72BDDD,#F3DBE9,#94ACC6,#FFFFFF
Nevada,Betta_Fish,#F0E3B9,#F1EECD,#6AB3C1,#E5ECDC
New Romantic Sailors,Betta_Fish,#281B40,#5C4172,#4F053A,#2F2D52
New Year's March！ ／ ラジオ体操第一（虹ヶ咲学園スクールアイドル同好会 Ver.）,Betta_Fish,#FDFEF0,#EBE4B6,#F5D896,#DCD295
New me,Betta_Fish,#F61B91,#FFA3DC,#FBE1FF,#FBE7FB
Ninja Scroll (Original Soundtrack Album),Betta_Fish,#142742,#194276,#0F4A82,#6EC9DB
No brand girls ／ START：DASH!!,Betta_Fish,#513947,#5F68A0,#7F4488,#994F9C
No title-,Betta_Fish,#1F1F38,#801849,#086A7E,#2F313E
Number Compilation Album,Betta_Fish,#2ED7DA,#E17244,#2CD8DA,#0C7F7C
OFFICIAL ORANGE,kengwang,#DFD190,#DEA55E,#DFD695,#EDEADD
Oi,Betta_Fish,#3B1C1E,#FD041C,#FB3241,#F8F8F8
One,Betta_Fish,#5D563B,#8A8C67,#504E39,#484421
Opera of the Wasteland,Betta_Fish,#162671,#0853C8,#1E729D,#12173F
Operation Able,Betta_Fish,#A3A8A4,#55606B,#959AA0,#F9FAF8
Oracle,Betta_Fish,#040406,#3F2C6D,#291054,#040207
Out Of Control,Betta_Fish,#0C0D10,#333746,#01244A,#0E1A30
OveR,Betta_Fish,#0D0707,#56769F,#0B0505,#0B0505
PARADOX,Betta_Fish,#B3A9C4,#CD9FC6,#EFEF81,#DDD3DD
PINOCCHIOP BEST ALBUM 2009-2020 寿,Betta_Fish,#E8E9EB,#D0CDC8,#BBB7B1,#E9E9EA
POPSONG,Betta_Fish,#44445F,#8E5559,#E692B3,#CBB468
PROVANT,Betta_Fish,#8E8E8E,#A0A0A0,#CECECE,#FBFBFB
Paper Bouquet,Betta_Fish,#0E1A42,#304E93,#7589B9,#2C438F
Paradise,Betta_Fish,#F5EAAA,#FFC094,#F5F5F5,#F5F5F5
Parfaitone,Betta_Fish,#0B2C2A,#0C302E,#0C2E2D,#0E5855
Period,Betta_Fish,#001D75,#001D4A,#117CB4,#032473
Philosophyz／ささやかなはじまり (アニメ「Rewrite」OP＆ED),Betta_Fish,#F2F8EC,#F2F8EE,#F7C9A5,#FFFFFF
Phoenix,Betta_Fish,#2E2D30,#29333C,#202020,#5E62AB
Ping Pong (Original Soundtrack),Betta_Fish,#2ED0EA,#F5E819,#F3F189,#FDFEFC
Please Don't Go,Betta_Fish,#24272B,#434A5A,#757A90,#59686F
Pray Pray Pray(「甘神さんちの縁結び」キャラクターソングミニアルバム),Betta_Fish,#507085,#DAE0DC,#A0AEB9,#CED7D4
Prhythm☆Star,Betta_Fish,#354241,#708176,#8D9482,#2E4345
Project DIVA-F Complete Collection,Betta_Fish,#2A477F,#45456B,#81C8CC,#273447
Queen (Deluxe),Betta_Fish,#5C1106,#9D2B05,#804432,#4C0503
RAiSe! The story of my music,raspberry_kan,#979CCC,#F3F4F8,#B2DDE1,#E96739
RISE,Betta_Fish,#170C08,#734C23,#453827,#271F0A
RRRepeat!!!,Betta_Fish,#9FB1BD,#768B9E,#AEB8C2,#E1E8F0
ReFraction -BEST OF PeperonP-,Betta_Fish,#7E9794,#D7CDCC,#EAE3EA,#F5F3F2
RePAINT,Betta_Fish,#202E37,#1F3528,#1B2831,#653A43
Remember,Betta_Fish,#B7AAC6,#777C9D,#E7B2AC,#8694B7
Remember Our Summer,Betta_Fish,#261913,#C6520E,#F09B1B,#ECD4B3
Reminding Me,Betta_Fish,#545351,#4B4A47,#94918F,#353533
Resolution,Betta_Fish,#24284D,#730508,#B33648,#0D163F
Reweave (Cover),Betta_Fish,#171722,#35397E,#181214,#232770
Re：birth day,Betta_Fish,#03486C,#006A98,#5ABCED,#004670
Re：放課後,Betta_Fish,#1D0404,#6A1817,#791F16,#130303
Rightfully,Betta_Fish,#131413,#373935,#31312F,#1D2120
Rolling in the Deep,Betta_Fish,#010101,#323336,#3A3B3C,#1E1E1E
Romantic summer,Betta_Fish,#E7E7E9,#FFFFFF,#F5A4A7,#F4EBEA
Running,Betta_Fish,#76AFCD,#96C6DD,#B3C4D4,#8FB3CD
R・E・P,Betta_Fish,#A59CC9,#A3ADC4,#CDD6E0,#FBFBF3
S-mode #2,Betta_Fish,#AFB2B7,#AAAEB1,#939391,#D7DBE1
SAVAGE,Betta_Fish,#13F1D8,#03C89D,#00C8A3,#0385E3
SCOPE,Betta_Fish,#010B0A,#223331,#041C1E,#5A6869
STARLET,Betta_Fish,#080403,#331E22,#351D35,#030000
START!! True dreams,Betta_Fish,#E1147B,#93004E,#1D90E3,#3649FF
STEREO DIVE,Betta_Fish,#201818,#406470,#989388,#2D363D
